1,11111111,林巩惑前1,11111,1,
2,22222222,林巩惑前2,22222,1,
3,33333333,林巩惑前3,33333,1,
4,44444444,林巩惑前4,44444,1,
5,55555555,林巩惑前5,55555,1,
6,66666666,林巩惑前6,66666,1,
7,77777777,林巩惑前7,77777,1,
8,88888888,林巩惑前8,88888,1,
9,99999999,林巩惑前9,99999,1,
10,111111110,林巩惑前10,111110,1,
11,122222221,林巩惑前11,122221,1,
12,133333332,林巩惑前12,133332,1,
13,144444443,林巩惑前13,144443,1,
14,155555554,林巩惑前14,155554,1,
15,166666665,林巩惑前15,166665,1,
16,177777776,林巩惑前16,177776,1,
17,188888887,林巩惑前17,188887,1,
18,199999998,林巩惑前18,199998,1,
19,211111109,林巩惑前19,211109,1,
20,222222220,林巩惑前20,222220,1,
21,233333331,林巩惑前21,233331,1,
22,244444442,林巩惑前22,244442,1,
23,255555553,林巩惑前23,255553,1,
24,266666664,林巩惑前24,266664,1,
25,277777775,林巩惑前25,277775,1,
26,288888886,林巩惑前26,288886,1,
27,299999997,林巩惑前27,299997,1,
28,311111108,林巩惑前28,311108,1,
29,322222219,林巩惑前29,322219,1,
30,333333330,林巩惑前30,333330,1,
31,344444441,林巩惑前31,344441,1,y
32,355555552,林巩惑前32,355552,1,y
33,366666663,林巩惑前33,366663,1,y
34,377777774,林巩惑前34,377774,1,y
35,388888885,林巩惑前35,388885,1,y
36,399999996,林巩惑前36,399996,1,y
37,411111107,林巩惑前37,411107,1,y
38,422222218,林巩惑前38,422218,1,y
39,433333329,林巩惑前39,433329,1,y
40,444444440,林巩惑前40,444440,1,y
41,455555551,林巩惑前41,455551,1,y
42,466666662,林巩惑前42,466662,1,y
43,477777773,林巩惑前43,477773,1,y
44,488888884,林巩惑前44,488884,1,y
45,499999995,林巩惑前45,499995,1,y
46,511111106,林巩惑前46,511106,1,y
47,522222217,林巩惑前47,522217,1,y
48,533333328,林巩惑前48,533328,1,y
49,544444439,林巩惑前49,544439,1,y
50,555555550,林巩惑前50,555550,1,y
